,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
264063,405780,0,Cash loans,F,N,Y,1,112500.0,255960.0,20353.5,202500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.0084739999999999,-8478,-946,-8469.0,-170,,1,1,0,1,0,0,Medicine staff,2.0,2,2,WEDNESDAY,9,0,0,0,0,1,1,Kindergarten,,0.1987200632110066,,0.0165,,0.9811,,,,0.069,0.0417,,,,,,,0.0168,,0.9811,,,,0.069,0.0417,,,,,,,0.0167,,0.9811,,,,0.069,0.0417,,,,,,,,block of flats,0.0115,"Stone, brick",No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
216151,350451,0,Cash loans,F,N,Y,1,243000.0,238500.0,16065.0,238500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.018209,-14295,-5966,-1850.0,-2841,,1,1,0,1,0,1,Core staff,3.0,3,3,THURSDAY,10,0,0,0,0,0,0,Government,,0.5587067241706721,0.5064842396679806,0.4124,0.1636,0.996,0.9456,0.1709,0.24,0.2069,0.375,0.4167,0.1606,0.3362,0.3185,0.0,0.0,0.4202,0.1698,0.996,0.9477,0.1725,0.2417,0.2069,0.375,0.4167,0.1643,0.3673,0.3319,0.0,0.0,0.4164,0.1636,0.996,0.9463,0.172,0.24,0.2069,0.375,0.4167,0.1634,0.342,0.3243,0.0,0.0,reg oper account,block of flats,0.344,Panel,No,2.0,0.0,2.0,0.0,-410.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
291291,437450,0,Cash loans,M,N,Y,0,144000.0,99000.0,10525.5,99000.0,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,0.026392,-18451,-3620,-9173.0,-1984,,1,1,0,1,0,0,,1.0,2,2,MONDAY,16,0,0,0,0,0,0,Security,,0.3351718622482214,0.3108182544189319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2673.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
25131,129231,0,Cash loans,F,Y,N,1,112500.0,523597.5,36571.5,468000.0,Unaccompanied,Working,Higher education,Single / not married,Co-op apartment,0.009175,-11458,-3097,-5198.0,-2197,64.0,1,1,0,1,0,0,Sales staff,2.0,2,2,TUESDAY,20,0,0,0,0,1,1,Self-employed,0.6907558792335686,0.4119978609246109,0.6832688314232291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-1263.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
33524,138834,0,Cash loans,M,N,Y,0,157500.0,170640.0,11533.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0196889999999999,-16165,-374,-432.0,-1788,,1,1,0,1,0,0,Security staff,2.0,2,2,MONDAY,14,0,0,0,0,1,1,Business Entity Type 3,,0.0390167839375361,0.2622489709189549,0.0825,0.0804,0.9747,0.6532,0.0574,0.0,0.1379,0.1667,0.2083,0.0634,0.0664,0.061,0.0039,0.003,0.084,0.0834,0.9747,0.6668,0.0579,0.0,0.1379,0.1667,0.2083,0.0649,0.0725,0.0635,0.0039,0.0032,0.0833,0.0804,0.9747,0.6578,0.0577,0.0,0.1379,0.1667,0.2083,0.0645,0.0676,0.0621,0.0039,0.003,reg oper account,block of flats,0.08,"Stone, brick",No,2.0,0.0,2.0,0.0,-531.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
284178,429108,0,Cash loans,M,N,Y,0,180000.0,781920.0,42547.5,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-20900,-1959,-13345.0,-4271,,1,1,0,1,1,0,Laborers,2.0,2,2,SATURDAY,8,0,0,0,0,0,0,Business Entity Type 3,,0.1542654241327621,0.3474182272002641,0.0825,0.0,0.9747,0.6532,0.0299,0.0,0.1379,0.1667,0.2083,0.0562,0.0672,0.0715,0.0,0.0,0.084,0.0,0.9747,0.6668,0.0302,0.0,0.1379,0.1667,0.2083,0.0575,0.0735,0.0745,0.0,0.0,0.0833,0.0,0.9747,0.6578,0.0301,0.0,0.1379,0.1667,0.2083,0.0572,0.0684,0.0728,0.0,0.0,reg oper account,block of flats,0.0726,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0
174037,301683,0,Revolving loans,M,N,Y,0,135000.0,855000.0,85500.0,855000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.005002,-15806,-1910,-8122.0,-4283,,1,1,0,1,1,1,Managers,1.0,3,3,THURSDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.5927757275185566,0.6738300778602003,0.0928,0.1116,0.9861,0.8096,0.0543,0.0,0.2069,0.1667,0.2083,0.014,0.0756,0.0532,0.0,0.0,0.0945,0.1158,0.9861,0.8171,0.0548,0.0,0.2069,0.1667,0.2083,0.0143,0.0826,0.0554,0.0,0.0,0.0937,0.1116,0.9861,0.8121,0.0547,0.0,0.2069,0.1667,0.2083,0.0143,0.077,0.0541,0.0,0.0,reg oper account,block of flats,0.0715,Panel,No,0.0,0.0,0.0,0.0,-752.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
159024,284357,0,Revolving loans,F,N,Y,0,180000.0,360000.0,18000.0,360000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.032561,-23012,-15729,-5437.0,-5237,,1,1,0,0,0,0,,2.0,1,1,SATURDAY,13,0,0,0,0,0,0,Other,,0.7775159474794221,,0.0299,,0.9071,,,0.0,0.1034,0.2083,,0.0233,,0.0441,,0.0435,0.0305,,0.9071,,,0.0,0.1034,0.2083,,0.0238,,0.046,,0.0461,0.0302,,0.9071,,,0.0,0.1034,0.2083,,0.0237,,0.0449,,0.0444,,block of flats,0.0442,"Stone, brick",No,0.0,0.0,0.0,0.0,-281.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0
201636,333736,0,Cash loans,M,Y,Y,2,117000.0,942300.0,34749.0,675000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.007305,-16412,-2540,-3759.0,-4592,22.0,1,1,1,1,1,0,Drivers,4.0,3,3,FRIDAY,12,0,0,0,0,0,0,Government,,0.6400355781056022,0.7583930617144343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2310.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
113059,231128,0,Cash loans,M,Y,N,0,166500.0,90000.0,10678.5,90000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.006233,-15288,-984,-9190.0,-4024,8.0,1,1,1,1,1,0,Drivers,1.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,Transport: type 3,,0.4363696847193784,0.4382813743111921,0.1031,0.0821,0.9791,0.7144,0.0116,0.0,0.2069,0.1667,,,0.0841,0.0899,0.0,0.0032,0.105,0.0852,0.9791,0.7256,0.0117,0.0,0.2069,0.1667,,,0.0918,0.0937,0.0,0.0034,0.1041,0.0821,0.9791,0.7182,0.0116,0.0,0.2069,0.1667,,,0.0855,0.0915,0.0,0.0032,reg oper account,block of flats,0.0777,"Stone, brick",No,2.0,0.0,2.0,0.0,-333.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
250018,389281,0,Cash loans,M,N,Y,1,157500.0,81504.0,8905.5,72000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00702,-14312,-665,-2558.0,-4534,,1,1,1,1,1,0,Laborers,3.0,2,2,TUESDAY,15,0,0,0,0,1,1,Government,,0.4838200569068172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-425.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
213496,347392,0,Cash loans,F,Y,Y,1,144000.0,1125000.0,32895.0,1125000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.025164,-12903,-2924,-5052.0,-4564,4.0,1,1,0,1,0,0,Accountants,3.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,Government,0.6258808684813866,0.7801113689219825,0.7352209993926424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2118.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
140273,262657,0,Cash loans,F,N,Y,0,157500.0,1078200.0,29781.0,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.030755,-15924,-2531,-10055.0,-4707,,1,1,0,1,0,0,Sales staff,1.0,2,2,MONDAY,11,0,0,0,0,0,0,Trade: type 3,,0.4294177028993949,0.746300213050371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-222.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
128980,249606,0,Revolving loans,M,Y,Y,1,202500.0,225000.0,11250.0,225000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.04622,-11411,-1359,-1491.0,-4053,12.0,1,1,0,1,0,0,Managers,3.0,1,1,TUESDAY,13,0,0,0,0,0,0,Self-employed,,0.6634852768343846,0.5172965813614878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
55904,164771,0,Cash loans,F,N,Y,0,112500.0,1078200.0,31653.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.028663,-12434,-832,-985.0,-4564,,1,1,0,1,0,0,Sales staff,1.0,2,2,MONDAY,9,0,0,0,0,0,0,Self-employed,0.2187981548304684,0.4726182912598859,0.8658959152750668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,15.0,0.0,-1858.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
243716,382133,0,Cash loans,M,N,Y,0,171000.0,769527.0,41877.0,612000.0,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.020246,-10145,-107,-510.0,-2806,,1,1,0,1,0,0,Laborers,1.0,3,3,WEDNESDAY,14,0,0,0,0,0,0,Transport: type 4,0.1678294030665521,0.3959876199759255,0.7394117535524816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1714.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
194381,325398,0,Cash loans,M,Y,Y,0,135000.0,104481.0,12528.0,94500.0,Unaccompanied,Working,Incomplete higher,Separated,House / apartment,0.030755,-14122,-1057,-8239.0,-917,22.0,1,1,0,1,0,0,Laborers,1.0,2,2,TUESDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.4308595820937021,0.5751394858618298,0.5316861425197883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0
193619,324523,0,Cash loans,F,N,Y,1,162000.0,675000.0,21906.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.072508,-12954,-1384,-6926.0,-1740,,1,1,0,1,1,0,Sales staff,3.0,1,1,SUNDAY,15,0,0,0,0,0,0,Business Entity Type 3,0.459469966239549,0.7301571207312415,0.1777040724853336,0.1959,0.0929,0.9821,0.7552,0.0,0.32,0.1379,0.4583,0.0,0.0,0.1597,0.2187,0.0,0.0,0.1996,0.0964,0.9821,0.7648,0.0,0.3222,0.1379,0.4583,0.0,0.0,0.1745,0.2278,0.0,0.0,0.1978,0.0929,0.9821,0.7585,0.0,0.32,0.1379,0.4583,0.0,0.0,0.1625,0.2226,0.0,0.0,reg oper spec account,block of flats,0.173,Panel,No,0.0,0.0,0.0,0.0,-1148.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0,1.0,3.0
224277,359770,0,Cash loans,F,N,Y,0,126000.0,285723.0,22239.0,238500.0,Unaccompanied,State servant,Secondary / secondary special,Widow,House / apartment,0.031329,-21960,-6984,-1226.0,-4905,,1,1,0,1,0,0,Sales staff,1.0,2,2,WEDNESDAY,8,0,0,0,0,0,0,Government,,0.580686936821281,0.6690566947824041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0043,,No,5.0,0.0,5.0,0.0,-2417.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
65860,176372,0,Cash loans,F,N,Y,0,135000.0,531706.5,19098.0,459000.0,Family,Working,Secondary / secondary special,Widow,House / apartment,0.0096569999999999,-22498,-209,-12016.0,-4699,,1,1,1,1,0,0,Medicine staff,1.0,2,2,FRIDAY,18,0,0,0,0,1,1,Medicine,,0.6474276917873898,0.4471785780453068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
276381,420253,0,Cash loans,F,N,Y,0,135000.0,276277.5,14233.5,238500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.00733,-21823,-818,-9949.0,-4088,,1,1,0,1,1,0,Cleaning staff,2.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,Government,,0.1746619460572095,0.8050196619153701,0.0619,0.0485,0.9762,,,0.0,0.069,0.1667,,0.0,,0.042,,0.0032,0.063,0.0504,0.9762,,,0.0,0.069,0.1667,,0.0,,0.0438,,0.0034,0.0625,0.0485,0.9762,,,0.0,0.069,0.1667,,0.0,,0.0428,,0.0032,,block of flats,0.0326,Panel,No,0.0,0.0,0.0,0.0,-1232.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
71401,182801,0,Revolving loans,F,Y,Y,0,108000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.015221,-8158,-1159,-5610.0,-248,64.0,1,1,0,1,0,0,Laborers,2.0,2,2,FRIDAY,14,0,0,0,0,0,0,Business Entity Type 2,0.3457251931003415,0.4085165447290733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
289856,435800,0,Revolving loans,F,Y,Y,0,90000.0,270000.0,13500.0,270000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.02461,-21384,365243,-11669.0,-4879,1.0,1,0,0,1,1,0,,1.0,2,2,FRIDAY,13,0,0,0,0,0,0,XNA,,0.7094441537791276,0.4848514754962666,0.1485,,0.9841,0.7824,,0.16,0.1379,0.3333,0.0417,,0.121,,,,0.1513,,0.9841,0.7909,,0.1611,0.1379,0.3333,0.0417,,0.1322,,,,0.1499,,0.9841,0.7853,,0.16,0.1379,0.3333,0.0417,,0.1231,,,,org spec account,block of flats,0.1174,,No,0.0,0.0,0.0,0.0,-1527.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0,1.0,1.0
202297,334511,0,Cash loans,F,N,N,2,247500.0,1042560.0,34587.0,900000.0,Unaccompanied,Commercial associate,Higher education,Married,With parents,0.04622,-11967,-2048,-2097.0,-2097,,1,1,1,1,1,1,Core staff,4.0,1,1,TUESDAY,18,0,1,1,0,1,1,Self-employed,0.7612641339065095,0.7408843257204937,0.6397075677637197,0.0619,0.0712,0.9841,0.7824,0.0317,0.0,0.1379,0.1667,0.2083,0.0321,0.0504,0.061,0.0,0.0,0.063,0.0739,0.9841,0.7909,0.032,0.0,0.1379,0.1667,0.2083,0.0328,0.0551,0.0635,0.0,0.0,0.0625,0.0712,0.9841,0.7853,0.0319,0.0,0.1379,0.1667,0.2083,0.0326,0.0513,0.0621,0.0,0.0,reg oper spec account,block of flats,0.0479,Panel,No,0.0,0.0,0.0,0.0,-1788.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
63384,173508,1,Cash loans,M,N,N,0,112500.0,521280.0,26743.5,450000.0,Unaccompanied,State servant,Secondary / secondary special,Widow,House / apartment,0.010276,-19969,-4523,-10754.0,-3231,,1,1,1,1,0,0,Managers,1.0,2,2,TUESDAY,15,0,0,0,0,0,0,School,0.3762546087622985,0.5933668044015747,0.1528662291550415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,0.0,-2296.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
278196,422327,1,Cash loans,F,Y,Y,0,58500.0,385164.0,21024.0,292500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-17354,-882,-2759.0,-884,32.0,1,1,0,1,0,0,Cleaning staff,2.0,3,3,FRIDAY,11,0,0,0,0,1,1,Construction,0.3915004197727738,0.5066273728360022,,0.0433,0.1216,0.9816,0.7484,0.088,0.0,0.1379,0.1667,0.0417,0.0292,0.0353,0.0795,0.0,0.0,0.0441,0.1262,0.9816,0.7583,0.0888,0.0,0.1379,0.1667,0.0417,0.0299,0.0386,0.0828,0.0,0.0,0.0437,0.1216,0.9816,0.7518,0.0886,0.0,0.1379,0.1667,0.0417,0.0298,0.0359,0.0809,0.0,0.0,reg oper account,block of flats,0.1107,"Stone, brick",No,0.0,0.0,0.0,0.0,-130.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
176783,304859,1,Cash loans,F,N,N,0,90000.0,490495.5,27517.5,454500.0,Family,State servant,Secondary / secondary special,Married,House / apartment,0.025164,-16126,-3648,-4222.0,-983,,1,1,1,1,1,0,Managers,2.0,2,2,MONDAY,12,0,0,0,0,0,0,Industry: type 11,,0.12195744779172,0.6380435278721609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-393.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42095,148734,1,Cash loans,F,N,Y,1,90000.0,254700.0,16407.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-10738,-1823,-4294.0,-1179,,1,1,0,1,0,0,Laborers,3.0,3,3,THURSDAY,10,0,0,0,0,1,1,Postal,,0.058276591363161,0.3376727217405312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-705.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
16417,119147,1,Cash loans,M,N,Y,1,225000.0,911263.5,38740.5,814500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-19097,-3066,-12978.0,-2639,,1,1,0,1,0,0,Laborers,3.0,2,2,TUESDAY,19,0,0,0,0,0,0,Business Entity Type 1,0.3977849084156589,0.613525756347574,0.6058362647264226,0.033,0.0381,0.9752,0.66,0.0027,0.0,0.069,0.125,0.1667,0.0308,0.0269,0.0292,0.0,0.0,0.0336,0.0396,0.9752,0.6733,0.0028,0.0,0.069,0.125,0.1667,0.0315,0.0294,0.0304,0.0,0.0,0.0333,0.0381,0.9752,0.6645,0.0027,0.0,0.069,0.125,0.1667,0.0313,0.0274,0.0297,0.0,0.0,reg oper account,block of flats,0.0244,"Stone, brick",No,1.0,0.0,1.0,0.0,-1959.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
63150,173242,1,Cash loans,F,Y,N,0,144000.0,1339884.0,36976.5,1170000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.010006,-23051,365243,-5949.0,-909,8.0,1,0,0,1,1,0,,1.0,2,1,WEDNESDAY,9,0,0,0,0,0,0,XNA,0.7699153526202944,0.8092304188575485,0.7801436381572275,0.2948,0.2053,0.9911,0.8776,0.0862,0.32,0.2759,0.3333,0.375,0.131,0.2387,0.3426,0.0077,0.0156,0.3004,0.213,0.9911,0.8824,0.087,0.3222,0.2759,0.3333,0.375,0.134,0.2608,0.357,0.0078,0.0165,0.2977,0.2053,0.9911,0.8792,0.0868,0.32,0.2759,0.3333,0.375,0.1333,0.2428,0.3488,0.0078,0.0159,reg oper account,block of flats,0.32,Panel,No,6.0,0.0,6.0,0.0,-2513.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
141761,264369,1,Cash loans,F,N,Y,0,103500.0,441000.0,24052.5,441000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.003069,-20555,365243,-2373.0,-4025,,1,0,0,1,0,0,,1.0,3,3,WEDNESDAY,16,0,0,0,0,0,0,XNA,,0.0752652469230912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-516.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
159719,285152,1,Cash loans,F,N,Y,2,72000.0,143910.0,14364.0,135000.0,Unaccompanied,Working,Lower secondary,Civil marriage,House / apartment,0.018209,-13727,-3093,-6673.0,-4572,,1,1,1,1,0,0,Core staff,4.0,3,3,WEDNESDAY,7,0,0,0,0,0,0,Agriculture,,0.5489103635997481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-923.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
105566,222497,1,Cash loans,F,Y,Y,0,270000.0,746280.0,59094.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-13095,-1652,-1836.0,-1844,11.0,1,1,0,1,0,0,High skill tech staff,2.0,2,2,FRIDAY,10,0,0,0,1,1,0,Trade: type 7,0.2308270109242833,0.4926822328869641,0.1714683668967994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1780.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
